,Name,Pos,League,Age,90s,TklAtt,TklWon,Tkl_Percentage%,TklWon/90,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Succ,Press,Pres%,Succ/90,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,Blocks/90,ShotBlocked,ShSv,Pass,Int,Int/90,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,PassCmp/90,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersAtt,HeadersWon/90,HeadersWon%
733,Tiago Djaló,DF,Ligue 1,21.0,25.9,66,39,59.1,1.5,44,20,2,26,45,57.8,19,97,260,37.3,3.7,145,94,21,45,1.7,11,1,34,31,1.2,97,89,0,1,13,5,38.5,0.5,0.19,0.08,0.2,11.8,0,0,0,1.1,1.1,0.09,-0.1,-0.1,20,0.77,15,2,1,0,0,2,3,0.12,2,0,1,0,0,0,1331,1516,87.8,51.4,25517,8843,528,574,92.0,598,650,92.0,187,242,77.3,1,0.3,0.7,4,65,4,1,61,221,27,30,57,1.0,47.4
734,Djené,DF,La Liga,29.0,34.6,52,36,69.2,1.0,29,19,4,18,28,64.3,10,104,297,35.0,3.0,163,121,13,36,1.0,5,0,31,93,2.7,145,133,2,0,4,1,25.0,0.12,0.03,0.0,0.0,17.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,26,0.75,20,0,2,1,1,2,4,0.12,4,0,0,0,0,0,1035,1331,77.8,29.9,21837,8343,341,384,88.8,483,563,85.8,202,346,58.4,1,0.3,0.7,9,75,11,2,85,360,69,39,108,2.0,63.9
736,Koffi Djidji,DF,Serie A,28.0,19.3,50,20,40.0,1.0,23,22,5,9,16,56.3,7,98,301,32.6,5.1,129,152,20,28,1.5,8,0,20,48,2.5,98,72,0,0,10,3,30.0,0.52,0.16,0.0,0.0,17.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,12,0.62,12,0,0,0,0,0,2,0.1,2,0,0,0,0,0,700,828,84.5,36.3,14044,3989,249,277,89.9,327,354,92.4,114,174,65.5,0,0.1,-0.1,2,43,7,2,48,189,53,40,93,2.7,57.0
737,Alexander Djiku,DF,Ligue 1,26.0,29.9,65,40,61.5,1.3,46,14,5,21,39,53.8,18,101,296,34.1,3.4,179,97,20,46,1.5,12,0,34,80,2.7,145,117,1,1,15,7,46.7,0.5,0.23,0.07,0.14,10.5,0,0,0,2.1,2.1,0.14,-1.1,-1.1,22,0.73,21,0,0,0,0,1,2,0.07,2,0,0,0,0,0,1369,1614,84.8,45.8,30803,11956,367,404,90.8,690,768,89.8,288,405,71.1,0,0.6,-0.6,7,140,17,3,135,252,74,30,104,2.5,71.2
739,Berat Djimsiti,DF,Serie A,28.0,25.1,46,31,67.4,1.2,22,19,5,22,42,52.4,20,97,265,36.6,3.9,105,134,26,39,1.6,13,0,26,53,2.1,99,83,1,1,18,3,16.7,0.72,0.12,0.06,0.33,12.1,0,0,0,1.8,1.8,0.1,-0.8,-0.8,21,0.84,16,0,1,3,0,1,1,0.04,1,0,0,0,0,0,1213,1427,85.0,48.3,22421,7729,520,581,89.5,517,570,90.7,159,236,67.4,1,1.0,0.0,11,87,15,7,80,263,79,24,103,3.1,76.7
751,Nicolás Domínguez,MF,Serie A,23.0,22.4,78,48,61.5,2.1,37,36,5,30,70,42.9,40,168,571,29.4,7.5,238,262,71,45,2.0,13,1,32,45,2.0,123,31,1,0,22,4,18.2,0.98,0.18,0.0,0.0,15.3,0,0,0,1.6,1.6,0.07,-1.6,-1.6,55,2.46,44,1,0,6,1,3,5,0.22,4,0,0,0,0,1,982,1196,82.1,43.8,18350,4944,432,484,89.3,400,462,86.6,135,203,66.5,3,2.2,0.8,27,87,30,3,100,260,36,34,70,1.6,51.4
756,Niklas Dorsch,MF,Bundesliga,23.0,25.8,85,54,63.5,2.1,50,31,4,22,46,47.8,24,148,508,29.1,5.7,220,260,28,49,1.9,13,1,36,64,2.5,149,36,1,1,12,1,8.3,0.46,0.04,0.08,1.0,28.2,0,0,0,0.2,0.2,0.02,0.8,0.8,34,1.32,21,6,0,1,1,5,3,0.12,3,0,0,0,0,0,915,1100,83.2,35.5,21055,5578,276,315,87.6,411,455,90.3,210,294,71.4,0,0.3,-0.3,12,70,8,2,79,305,21,16,37,0.8,56.8
757,Gabriel Dos Santos,DF,Premier League,23.0,34.0,57,37,64.9,1.1,39,14,4,23,35,65.7,12,86,222,38.7,2.5,131,77,14,49,1.4,28,0,21,39,1.1,96,117,3,5,30,12,40.0,0.88,0.35,0.17,0.42,11.0,0,0,0,2.7,2.7,0.09,2.3,2.3,22,0.65,20,0,0,1,0,1,1,0.03,1,0,0,0,0,0,1796,2002,89.7,52.8,37056,10032,535,565,94.7,1002,1054,95.1,239,350,68.3,0,0.8,-0.8,8,111,1,0,83,250,68,38,106,2.0,64.2
758,Jodel Dossou,FW,Ligue 1,29.0,22.3,31,23,74.2,1.0,15,10,6,9,38,23.7,29,106,374,28.3,4.8,93,163,118,27,1.2,0,0,27,11,0.5,42,6,0,3,53,16,30.2,2.38,0.72,0.06,0.19,17.1,0,0,0,5.1,5.1,0.1,-2.1,-2.1,55,2.47,36,0,9,4,5,1,4,0.18,1,0,2,1,0,0,414,573,72.3,18.6,6060,1741,244,293,83.3,132,180,73.3,24,45,53.3,1,2.5,-1.5,23,36,23,12,51,119,7,19,26,0.3,26.9
760,Abdoulaye Doucouré,MF,Premier League,28.0,28.2,76,45,59.2,1.6,37,36,3,26,70,37.1,44,179,656,27.3,6.3,248,308,100,42,1.5,8,0,34,41,1.5,117,33,0,2,34,10,29.4,1.21,0.35,0.06,0.2,17.3,0,0,0,2.7,2.7,0.08,-0.7,-0.7,53,1.88,48,0,2,2,0,1,7,0.25,5,0,1,1,0,0,877,1095,80.1,31.1,14742,3154,429,500,85.8,349,419,83.3,74,112,66.1,4,2.2,1.8,21,81,23,1,91,355,44,52,96,1.6,45.8
761,Cheick Doucouré,MF,Ligue 1,21.0,32.7,86,67,77.9,2.0,44,34,8,26,66,39.4,40,180,497,36.2,5.5,192,249,56,31,0.9,7,0,24,74,2.3,160,19,0,1,31,11,35.5,0.95,0.34,0.03,0.09,22.1,0,0,0,1.5,1.5,0.05,-0.5,-0.5,86,2.63,74,0,2,3,3,4,7,0.21,5,0,0,2,0,0,1699,1940,87.6,52.0,31828,7814,702,777,90.3,776,858,90.4,200,254,78.7,4,3.1,0.9,38,187,25,0,205,299,22,24,46,0.7,47.8
766,Souleyman Doumbia,DF,Ligue 1,24.0,24.7,32,23,71.9,0.9,15,11,6,13,31,41.9,18,63,264,23.9,2.6,89,114,61,58,2.3,4,0,54,55,2.2,87,35,1,0,14,3,21.4,0.57,0.12,0.0,0.0,20.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,35,1.42,29,0,3,0,2,1,2,0.08,2,0,0,0,0,0,915,1102,83.0,37.0,14808,4397,478,524,91.2,373,431,86.5,54,100,54.0,1,1.5,-0.5,16,35,17,12,55,133,17,16,33,0.7,51.5
775,Óscar Duarte,DF,La Liga,32.0,19.7,19,14,73.7,0.7,11,8,0,6,14,42.9,8,54,154,35.1,2.7,77,69,8,25,1.3,11,0,14,27,1.4,46,102,0,2,20,5,25.0,1.02,0.25,0.1,0.4,11.3,0,0,0,1.1,1.1,0.05,0.9,0.9,4,0.2,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,810,961,84.3,41.1,18619,6517,205,223,91.9,405,465,87.1,188,256,73.4,0,0.3,-0.3,2,27,0,0,34,211,87,40,127,4.4,68.5
776,Rubén Duarte,DF,La Liga,25.0,29.1,79,40,50.6,1.4,44,29,6,34,75,45.3,41,110,391,28.1,3.8,192,147,52,79,2.7,6,0,73,68,2.3,147,99,0,0,9,3,33.3,0.31,0.1,0.0,0.0,23.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,46,1.58,27,14,0,0,2,3,6,0.21,3,2,0,0,1,0,914,1346,67.9,31.4,17031,8941,393,456,86.2,406,534,76.0,103,306,33.7,4,2.1,1.9,21,76,27,15,79,274,68,43,111,2.3,61.3
777,Leo Dubois,DF,Ligue 1,26.0,19.4,56,37,66.1,1.9,32,17,7,33,57,57.9,24,86,285,30.2,4.4,115,111,59,44,2.3,3,2,41,28,1.4,84,31,0,0,10,1,10.0,0.52,0.05,0.0,0.0,21.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,40,2.07,31,5,0,3,1,0,4,0.21,2,0,0,1,1,0,1138,1358,83.8,58.7,21148,6813,489,530,92.3,499,566,88.2,139,231,60.2,0,1.3,-1.3,17,71,23,10,101,139,18,23,41,0.9,43.9
783,Denzel Dumfries,DF,Serie A,25.0,22.5,40,25,62.5,1.1,13,16,11,13,31,41.9,18,94,292,32.2,4.2,84,113,95,29,1.3,8,0,21,26,1.2,66,27,0,5,39,17,43.6,1.73,0.75,0.13,0.29,10.9,0,0,0,5.8,5.8,0.15,-0.8,-0.8,55,2.44,42,2,5,4,2,0,6,0.27,4,1,0,0,1,0,647,864,74.9,28.8,10668,3592,333,400,83.3,255,333,76.6,46,88,52.3,4,3.9,0.1,27,32,27,9,81,130,59,41,100,2.6,59.0
785,Alfred Duncan,MF,Serie A,28.0,21.5,35,23,65.7,1.1,14,13,8,11,35,31.4,24,115,355,32.4,5.3,84,166,105,25,1.2,4,0,21,23,1.1,58,10,0,2,11,3,27.3,0.51,0.14,0.18,0.67,18.7,0,0,0,1.3,1.3,0.12,0.7,0.7,48,2.24,39,1,1,1,1,5,5,0.23,5,0,0,0,0,0,751,950,79.1,34.9,16000,4156,271,315,86.0,323,400,80.8,146,192,76.0,2,1.8,0.2,25,92,29,6,104,143,15,18,33,0.7,45.5
786,Lewis Dunk,DF,Premier League,29.0,28.6,20,11,55.0,0.4,9,10,1,6,13,46.2,7,48,125,38.4,1.7,74,41,10,42,1.5,27,0,15,46,1.6,66,119,3,1,19,7,36.8,0.66,0.24,0.05,0.14,10.0,0,0,0,1.2,1.2,0.06,-0.2,-0.2,15,0.52,11,1,0,3,0,0,2,0.07,1,1,0,0,0,0,1676,1881,89.1,58.6,39331,10816,370,399,92.7,916,964,95.0,374,490,76.3,0,0.2,-0.2,2,85,2,1,54,257,91,44,135,3.2,67.4
788,Hugo Duro,FWMF,La Liga,21.0,20.4,31,20,64.5,1.0,12,15,4,11,40,27.5,29,140,524,26.7,6.9,104,228,192,30,1.5,2,0,28,8,0.4,39,13,1,7,31,15,48.4,1.52,0.74,0.23,0.47,11.4,0,0,0,3.8,3.8,0.12,3.2,3.2,32,1.57,21,0,3,1,6,1,7,0.34,2,0,1,1,2,1,282,391,72.1,13.8,3889,883,163,206,79.1,91,125,72.8,11,27,40.7,1,0.9,0.1,14,10,3,0,19,112,48,86,134,2.4,35.8
790,Jean-Kevin Duverne,DF,Ligue 1,24.0,33.4,75,44,58.7,1.3,47,23,5,36,88,40.9,52,175,549,31.9,5.2,285,200,64,63,1.9,8,1,55,77,2.3,152,92,1,1,14,3,21.4,0.42,0.09,0.07,0.33,15.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2,47,1.41,40,3,3,0,1,0,6,0.18,6,0,0,0,0,0,1351,1791,75.4,40.4,26201,12194,580,668,86.8,546,690,79.1,202,364,55.5,3,2.9,0.1,27,141,30,17,150,272,43,35,78,1.3,55.1
791,Paulo Dybala,FWMF,Serie A,27.0,22.9,26,15,57.7,0.7,6,10,10,5,33,15.2,28,91,331,27.5,4.0,73,133,125,24,1.0,0,0,24,19,0.8,45,3,0,10,98,37,37.8,4.28,1.62,0.09,0.24,21.9,11,1,2,8.1,6.6,0.07,1.9,2.4,95,4.15,64,11,6,3,8,3,12,0.52,10,2,0,0,0,0,916,1130,81.1,40.0,17304,3637,424,498,85.1,343,399,86.0,134,194,69.1,5,3.7,1.3,38,70,32,7,99,146,4,25,29,0.2,13.8
792,Edin Džeko,FW,Serie A,35.0,27.4,23,18,78.3,0.7,8,8,7,10,24,41.7,14,89,291,30.6,3.2,33,137,121,24,0.9,7,0,17,8,0.3,31,29,0,13,87,35,40.2,3.17,1.28,0.15,0.37,10.6,0,0,0,13.2,13.2,0.15,-0.2,-0.2,89,3.24,72,0,6,6,5,0,15,0.55,12,0,0,2,1,0,577,814,70.9,21.1,10233,2485,284,379,74.9,193,252,76.6,76,112,67.9,6,4.5,1.5,38,47,39,8,83,107,95,80,175,3.5,54.3
793,Enzo Ebosse,DF,Ligue 1,22.0,21.0,33,14,42.4,0.7,23,8,2,12,26,46.2,14,69,233,29.6,3.3,112,95,26,26,1.2,8,0,18,41,2.0,74,43,0,0,4,0,0.0,0.19,0.0,0.0,0.0,22.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,24,1.14,17,1,1,0,5,0,0,0.0,0,0,0,0,0,0,916,1080,84.8,43.6,18048,6811,333,364,91.5,455,512,88.9,115,174,66.1,0,0.6,-0.6,11,45,5,3,52,162,25,26,51,1.2,49.0
799,Maximilian Eggestein,MF,Bundesliga,24.0,24.4,50,29,58.0,1.2,21,23,6,20,46,43.5,26,134,434,30.9,5.5,151,200,83,52,2.1,14,0,38,34,1.4,84,36,1,1,24,6,25.0,0.98,0.25,0.04,0.17,20.5,0,0,0,1.2,1.2,0.05,-0.2,-0.2,49,2.01,41,2,0,2,2,2,6,0.25,5,0,0,0,1,0,707,933,75.8,29.0,11958,3571,348,415,83.9,273,344,79.4,68,116,58.6,2,1.6,0.4,22,92,21,4,91,274,66,59,125,2.7,52.8
806,Caleb Ekuban,FWMF,Serie A,27.0,19.1,25,14,56.0,0.7,5,15,5,6,19,31.6,13,107,317,33.8,5.6,30,161,126,35,1.8,7,0,28,9,0.5,34,9,0,1,39,7,17.9,2.05,0.37,0.03,0.14,13.9,0,0,0,3.8,3.8,0.1,-2.8,-2.8,32,1.68,24,0,3,4,1,0,3,0.16,2,0,1,0,0,0,302,434,69.6,15.8,4217,900,195,241,80.9,84,126,66.7,13,23,56.5,2,2.4,-0.4,16,14,10,1,27,94,40,64,104,2.1,38.5
812,Aritz Elustondo,DF,La Liga,27.0,23.4,26,16,61.5,0.7,20,6,0,6,14,42.9,8,62,168,36.9,2.6,88,65,15,32,1.4,14,0,18,50,2.1,76,103,0,4,16,7,43.8,0.68,0.3,0.25,0.57,12.8,0,0,0,2.1,2.1,0.13,1.9,1.9,10,0.43,7,0,0,1,1,1,1,0.04,1,0,0,0,0,0,991,1164,85.1,42.4,21437,6878,286,323,88.5,501,561,89.3,193,258,74.8,1,0.2,0.8,2,58,3,0,72,234,80,29,109,3.4,73.4
813,Nico Elvedi,DF,Bundesliga,24.0,27.0,46,24,52.2,0.9,31,15,0,19,36,52.8,17,76,197,38.6,2.8,110,81,6,52,1.9,24,1,28,59,2.2,105,110,0,1,14,1,7.1,0.52,0.04,0.07,1.0,9.0,0,0,0,1.5,1.5,0.11,-0.5,-0.5,10,0.37,6,2,0,1,0,1,0,0.0,0,0,0,0,0,0,1587,1703,93.2,58.8,33801,8608,429,470,91.3,875,915,95.6,274,296,92.6,0,0.1,-0.1,3,40,0,0,51,273,91,50,141,3.4,64.5
814,Sepe Elye Wahi,FW,Ligue 1,18.0,19.8,23,14,60.9,0.7,9,8,6,3,17,17.6,14,87,312,27.9,4.4,55,114,143,18,0.9,1,0,17,6,0.3,29,3,0,10,43,20,46.5,2.17,1.01,0.23,0.5,12.6,0,0,0,7.9,7.9,0.18,2.1,2.1,27,1.36,16,0,2,0,7,2,6,0.3,4,0,0,0,1,1,168,252,66.7,8.5,2133,445,106,139,76.3,42,67,62.7,5,16,31.3,1,0.9,0.1,12,8,4,1,9,61,14,56,70,0.7,20.0
815,Mohamed Elyounoussi,MFFW,Premier League,26.0,22.7,46,33,71.7,1.5,14,24,8,10,31,32.3,21,156,499,31.3,6.9,144,235,120,37,1.6,4,0,33,19,0.8,65,24,0,4,43,17,39.5,1.9,0.75,0.09,0.24,13.7,0,0,0,6.0,6.0,0.15,-2.0,-2.0,52,2.29,41,0,2,5,3,1,5,0.22,3,0,0,2,0,0,451,639,70.6,19.9,6805,1620,273,334,81.7,142,198,71.7,26,63,41.3,2,2.5,-0.5,29,38,21,2,49,167,35,61,96,1.5,36.5
816,Adri Embarba,FWMF,La Liga,29.0,22.1,42,25,59.5,1.1,21,12,9,14,47,29.8,33,87,349,24.9,3.9,101,154,94,42,1.9,3,0,39,29,1.3,71,27,0,0,49,16,32.7,2.22,0.73,0.0,0.0,22.9,15,0,0,3.1,3.1,0.06,-3.1,-3.1,81,3.67,38,23,8,4,5,3,6,0.27,2,3,0,1,0,0,491,794,61.8,22.2,8450,2659,252,311,81.0,155,238,65.1,63,187,33.7,2,2.5,-0.5,36,23,23,12,36,156,20,33,53,0.9,37.7
817,Breel Embolo,FWMF,Bundesliga,24.0,24.1,29,21,72.4,0.9,2,17,10,8,16,50.0,8,127,392,32.4,5.3,21,184,187,17,0.7,4,0,13,11,0.5,40,7,0,9,48,23,47.9,1.99,0.96,0.19,0.39,13.5,0,0,0,8.8,8.8,0.18,0.2,0.2,79,3.28,54,0,2,4,15,4,9,0.37,6,0,0,1,2,0,430,587,73.3,17.8,6210,1483,263,333,79.0,114,159,71.7,32,48,66.7,3,4.7,-1.7,32,31,24,2,57,110,44,94,138,1.8,31.9
818,Emerson,DF,Premier League,22.0,25.4,86,39,45.3,1.5,56,24,6,28,60,46.7,32,126,500,25.2,5.0,245,177,78,56,2.2,4,0,52,35,1.4,121,79,0,1,15,4,26.7,0.59,0.16,0.07,0.25,14.6,0,0,0,1.5,1.5,0.1,-0.5,-0.5,49,1.93,40,0,4,2,1,2,4,0.16,4,0,0,0,0,0,1178,1441,81.7,46.4,19183,5304,637,709,89.8,436,516,84.5,89,147,60.5,1,2.1,-1.1,26,37,27,10,81,211,41,42,83,1.6,49.4
823,Wataru Endo,MF,Bundesliga,28.0,32.2,74,42,56.8,1.3,35,34,5,23,64,35.9,41,221,667,33.1,6.9,255,312,100,67,2.1,14,0,53,59,1.8,133,60,0,4,46,16,34.8,1.43,0.5,0.09,0.25,15.0,0,0,0,5.8,5.5,0.12,-1.8,-1.5,55,1.71,43,0,3,4,3,2,2,0.06,2,0,0,0,0,0,1282,1564,82.0,39.8,23393,6220,563,663,84.9,538,622,86.5,159,225,70.7,2,1.4,0.6,19,127,15,2,139,357,93,52,145,2.9,64.1
825,Martin Erlic,DF,Serie A,23.0,28.6,33,22,66.7,0.8,22,8,3,12,23,52.2,11,98,291,33.7,3.4,185,95,11,74,2.6,46,1,28,63,2.2,96,128,0,2,15,3,20.0,0.52,0.1,0.13,0.67,9.4,0,0,0,2.1,2.1,0.14,-0.1,-0.1,9,0.31,6,0,0,0,2,1,2,0.07,0,0,0,0,1,1,855,1048,81.6,29.9,19793,5509,206,242,85.1,450,502,89.6,188,285,66.0,0,0.4,-0.4,5,37,1,0,25,225,71,50,121,2.5,58.7
830,Alfonso Espino,DF,La Liga,29.0,37.0,113,78,69.0,2.1,61,39,13,43,116,37.1,73,223,725,30.8,6.0,364,264,97,84,2.3,12,0,72,91,2.5,204,86,2,2,27,8,29.6,0.73,0.22,0.07,0.25,20.3,0,0,0,1.6,1.4,0.05,0.4,0.6,72,1.95,52,10,2,2,1,5,4,0.11,3,0,0,0,0,1,1124,1778,63.2,30.4,22133,10055,472,567,83.2,447,627,71.3,180,472,38.1,2,3.9,-1.9,40,90,35,22,100,403,55,67,122,1.5,45.1
833,Maxime Estève,DF,Ligue 1,19.0,20.6,34,19,55.9,0.9,25,8,1,14,27,51.9,13,83,246,33.7,4.0,144,97,5,35,1.7,24,1,11,44,2.1,78,80,1,0,5,1,20.0,0.24,0.05,0.0,0.0,7.0,0,0,0,0.9,0.9,0.17,-0.9,-0.9,5,0.24,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0,700,814,86.0,34.0,14925,3541,187,208,89.9,382,418,91.4,120,166,72.3,0,0.0,0.0,1,26,1,0,29,147,36,30,66,1.7,54.5
840,Fabinho,MF,Premier League,27.0,25.7,57,37,64.9,1.4,17,33,7,19,62,30.6,43,131,413,31.7,5.1,126,225,62,51,2.0,10,0,41,56,2.2,113,30,0,5,19,7,36.8,0.74,0.27,0.16,0.43,18.8,1,2,2,3.4,1.9,0.11,1.6,1.1,39,1.52,31,0,0,3,4,1,5,0.19,3,0,0,2,0,0,1341,1522,88.1,52.2,24540,5539,552,611,90.3,630,686,91.8,137,180,76.1,1,1.4,-0.4,15,145,16,1,107,312,45,28,73,1.8,61.6
843,Wout Faes,DF,Ligue 1,23.0,37.0,43,27,62.8,0.7,30,12,1,21,36,58.3,15,78,205,38.0,2.1,129,69,7,59,1.6,39,0,20,81,2.2,124,181,1,4,23,9,39.1,0.62,0.24,0.17,0.44,13.0,0,0,0,2.3,2.3,0.1,1.7,1.7,18,0.49,16,0,0,1,1,0,0,0.0,0,0,0,0,0,0,1256,1432,87.7,33.9,28830,8869,296,322,91.9,697,731,95.3,252,351,71.8,0,0.2,-0.2,3,68,2,0,59,232,50,38,88,1.4,56.8
846,Romain Faivre,MF,Ligue 1,23.0,19.9,32,24,75.0,1.2,20,7,5,12,35,34.3,23,89,290,30.7,4.5,78,138,74,12,0.6,0,0,12,26,1.3,58,13,0,7,32,13,40.6,1.6,0.65,0.06,0.15,21.8,4,5,5,6.2,2.4,0.08,0.8,-0.4,72,3.61,34,28,3,4,3,0,8,0.4,3,4,0,1,0,0,667,860,77.6,33.5,11459,3916,331,385,86.0,222,273,81.3,87,152,57.2,5,3.3,1.7,35,61,28,5,87,121,8,16,24,0.4,33.3
850,Fali,DFMF,La Liga,27.0,20.0,38,27,71.1,1.4,30,8,0,16,31,51.6,15,69,208,33.2,3.4,139,64,5,37,1.8,16,0,21,35,1.8,73,80,0,0,15,0,0.0,0.75,0.0,0.0,0.0,16.0,2,0,0,0.8,0.8,0.05,-0.8,-0.8,12,0.6,9,1,0,1,0,1,2,0.1,1,1,0,0,0,0,523,674,77.6,26.2,12301,3516,117,132,88.6,271,318,85.2,128,214,59.8,2,1.0,1.0,7,38,5,1,36,165,40,29,69,2.0,58.0
853,Davide Faraoni,DF,Serie A,29.0,28.6,69,45,65.2,1.6,44,19,6,20,60,33.3,40,125,373,33.5,4.4,159,154,60,71,2.5,8,0,63,32,1.1,101,64,0,4,29,9,31.0,1.01,0.31,0.14,0.44,14.0,0,0,0,2.7,2.7,0.09,1.3,1.3,42,1.47,32,2,3,3,2,0,9,0.31,8,0,0,1,0,0,959,1369,70.1,33.5,18304,9467,429,523,82.0,369,495,74.5,148,302,49.0,5,2.9,2.1,21,82,60,22,142,234,46,66,112,1.6,41.1
865,Nabil Fekir,MF,La Liga,28.0,31.0,48,34,70.8,1.1,6,29,13,5,27,18.5,22,156,602,25.9,5.0,85,330,187,17,0.5,1,0,16,16,0.5,64,4,0,6,84,31,36.9,2.71,1.0,0.07,0.19,21.2,10,0,0,5.0,5.0,0.06,1.0,1.0,161,5.19,78,49,9,4,15,6,19,0.61,11,5,2,0,1,0,1216,1507,80.7,39.2,20704,6682,615,664,92.6,403,470,85.7,142,269,52.8,8,6.8,1.2,83,114,42,3,139,173,30,65,95,1.0,31.6
867,Luiz Felipe,DF,Serie A,24.0,27.7,50,25,50.0,0.9,28,20,2,17,33,51.5,16,68,180,37.8,2.5,91,79,10,56,2.0,36,2,20,42,1.5,92,109,0,0,5,1,20.0,0.18,0.04,0.0,0.0,12.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,13,0.47,11,0,0,0,1,1,1,0.04,0,0,0,0,1,0,1673,1818,92.0,60.4,32922,11071,563,604,93.2,847,895,94.6,226,271,83.4,0,0.1,-0.1,2,90,3,0,74,205,56,44,100,2.0,56.0
870,Kiko Femenía,DF,Premier League,30.0,23.8,43,26,60.5,1.1,29,11,3,24,41,58.5,17,75,227,33.0,3.2,112,85,30,39,1.6,10,0,29,63,2.6,106,61,0,0,3,1,33.3,0.13,0.04,0.0,0.0,19.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,39,1.64,27,12,0,0,0,0,6,0.25,5,1,0,0,0,0,856,1196,71.6,36.0,14470,6826,439,496,88.5,346,468,73.9,62,190,32.6,5,3.2,1.8,24,51,17,9,79,207,21,25,46,0.9,45.7
873,Bruno Fernandes,MF,Premier League,26.0,34.6,59,45,76.3,1.3,30,22,7,24,74,32.4,50,172,610,28.2,5.0,120,290,200,29,0.8,0,0,29,38,1.1,97,40,3,10,87,29,33.3,2.52,0.84,0.11,0.34,21.2,6,0,2,9.7,8.2,0.09,0.3,1.8,145,4.19,109,18,4,7,4,3,10,0.29,8,0,1,1,0,0,1524,2024,75.3,44.0,29671,8579,682,788,86.5,568,697,81.5,246,453,54.3,6,8.4,-2.4,88,155,85,15,196,258,23,33,56,0.7,41.1
876,Álex Fernández,MF,La Liga,28.0,22.8,49,32,65.3,1.4,25,17,7,18,48,37.5,30,125,512,24.4,5.5,174,284,54,42,1.8,8,0,34,38,1.7,87,33,0,3,19,6,31.6,0.83,0.26,0.11,0.33,19.6,0,1,2,2.9,1.4,0.07,0.1,0.6,38,1.67,26,7,0,3,0,2,2,0.09,2,0,0,0,0,0,816,1023,79.8,35.8,16159,4612,348,387,89.9,313,364,86.0,143,235,60.9,2,1.6,0.4,18,91,15,5,95,198,23,47,70,1.0,32.9
880,Fernando,MFDF,La Liga,34.0,20.6,29,23,79.3,1.1,17,10,2,10,37,27.0,27,74,201,36.8,3.6,100,91,10,35,1.7,13,0,22,42,2.0,71,46,0,1,7,1,14.3,0.34,0.05,0.14,1.0,15.6,0,0,0,0.6,0.6,0.09,0.4,0.4,23,1.12,21,1,1,0,0,0,3,0.15,2,1,0,0,0,0,1121,1248,89.8,54.4,24782,5214,338,363,93.1,548,578,94.8,227,282,80.5,1,0.3,0.7,5,65,5,0,51,212,42,45,87,2.0,48.3
883,Jordan Ferri,MF,Ligue 1,29.0,32.3,67,47,70.1,1.5,30,34,3,25,89,28.1,64,180,575,31.3,5.6,253,269,53,35,1.1,6,0,29,41,1.3,108,33,0,0,13,2,15.4,0.4,0.06,0.0,0.0,24.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,69,2.13,60,0,1,2,5,1,3,0.09,3,0,0,0,0,0,2100,2502,83.9,65.0,43598,14073,765,850,90.0,887,992,89.4,404,576,70.1,2,2.6,-0.6,29,215,28,5,211,381,17,39,56,0.5,30.4
885,Fidel,MFFW,La Liga,31.0,25.1,38,20,52.6,0.8,15,12,11,13,48,27.1,35,112,386,29.0,4.5,139,165,82,15,0.6,1,0,14,18,0.7,56,22,0,5,16,7,43.8,0.64,0.28,0.25,0.57,15.4,1,1,1,3.1,2.3,0.14,1.9,1.7,72,2.87,54,13,2,0,1,2,10,0.4,9,1,0,0,0,0,813,1095,74.2,32.4,13674,5337,440,513,85.8,258,327,78.9,96,197,48.7,6,5.1,0.9,40,85,21,9,112,154,7,25,32,0.3,21.9
