,Name,Pos,League,Age,90s,TklAtt,TklWon,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Press,Succ,Pres%,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,ShotBlocked,ShSv,Pass,Int,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersWon%,Tkl_Percentage%,TklWon/90,Succ/90,Blocks/90,Int/90,PassCmp/90,HeadersWon/90,HeadersAtt
682,Andy Diouf,MF,Ligue 1,18.0,0.2,2,1,1,0,1,1,1,100.0,0,7,1,14.3,2,3,2,1,0,0,1,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,9,77.8,119,7,3,5,60.0,4,4,100.0,0,0,0.0,0,0.5,-0.5,1,0,0,0,0,3,0,1,0.0,50.0,5.0,5.0,5.0,0.0,35.0,0.0,1
683,Assane Dioussé,MF,Ligue 1,23.0,0.3,0,0,0,0,0,0,0,0.0,0,8,6,75.0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,34,37,91.9,650,107,10,11,90.9,17,17,100.0,5,7,71.4,0,0.0,0.0,0,3,0,0,0,9,2,0,100.0,0.0,0.0,20.0,0.0,0.0,113.3,6.7,2
684,Axel Disasi,DF,Ligue 1,23.0,30.2,43,27,21,20,2,17,34,50.0,17,247,104,42.1,119,120,8,52,33,0,19,59,102,109,0,1,20,2,10.0,0.66,0.07,0.05,0.5,10.0,0,0,0,1.9,1.9,0.09,-0.9,-0.9,12,0.4,10,0,0,2,0,0,0,0.0,0,0,0,0,0,0,1536,1741,88.2,34684,10702,354,380,93.2,874,932,93.8,300,409,73.3,0,0.4,-0.4,8,121,6,1,110,284,83,41,66.9,62.8,0.9,3.4,1.7,2.0,50.9,2.7,124
685,Filippo Distefano,FW,Serie A,17.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,100.0,45,0,0,0,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,,,,,inf,,0
686,Tiago Djaló,DF,Ligue 1,21.0,25.9,66,39,44,20,2,26,45,57.8,19,260,97,37.3,145,94,21,45,11,1,34,31,97,89,0,1,13,5,38.5,0.5,0.19,0.08,0.2,11.8,0,0,0,1.1,1.1,0.09,-0.1,-0.1,20,0.77,15,2,1,0,0,2,3,0.12,2,0,1,0,0,0,1331,1516,87.8,25517,8843,528,574,92.0,598,650,92.0,187,242,77.3,1,0.3,0.7,4,65,4,1,61,221,27,30,47.4,59.1,1.5,3.7,1.7,1.2,51.4,1.0,57
687,Djené,DF,La Liga,29.0,34.6,52,36,29,19,4,18,28,64.3,10,297,104,35.0,163,121,13,36,5,0,31,93,145,133,2,0,4,1,25.0,0.12,0.03,0.0,0.0,17.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,26,0.75,20,0,2,1,1,2,4,0.12,4,0,0,0,0,0,1035,1331,77.8,21837,8343,341,384,88.8,483,563,85.8,202,346,58.4,1,0.3,0.7,9,75,11,2,85,360,69,39,63.9,69.2,1.0,3.0,1.0,2.7,29.9,2.0,108
688,Moussa Djenepo,MF,Premier League,23.0,5.1,13,8,6,6,1,5,12,41.7,7,104,25,24.0,46,39,19,9,1,0,8,9,22,3,0,0,11,1,9.1,2.17,0.2,0.0,0.0,16.1,0,0,0,1.5,1.5,0.14,-1.5,-1.5,16,3.15,12,0,2,1,1,0,1,0.2,1,0,0,0,0,0,111,149,74.5,1706,705,66,77,85.7,33,45,73.3,10,17,58.8,0,0.2,-0.2,6,10,9,2,23,54,2,7,22.2,61.5,1.6,4.9,1.8,1.8,21.8,0.4,9
689,Koffi Djidji,DF,Serie A,28.0,19.3,50,20,23,22,5,9,16,56.3,7,301,98,32.6,129,152,20,28,8,0,20,48,98,72,0,0,10,3,30.0,0.52,0.16,0.0,0.0,17.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,12,0.62,12,0,0,0,0,0,2,0.1,2,0,0,0,0,0,700,828,84.5,14044,3989,249,277,89.9,327,354,92.4,114,174,65.5,0,0.1,-0.1,2,43,7,2,48,189,53,40,57.0,40.0,1.0,5.1,1.5,2.5,36.3,2.7,93
690,Alexander Djiku,DF,Ligue 1,26.0,29.9,65,40,46,14,5,21,39,53.8,18,296,101,34.1,179,97,20,46,12,0,34,80,145,117,1,1,15,7,46.7,0.5,0.23,0.07,0.14,10.5,0,0,0,2.1,2.1,0.14,-1.1,-1.1,22,0.73,21,0,0,0,0,1,2,0.07,2,0,0,0,0,0,1369,1614,84.8,30803,11956,367,404,90.8,690,768,89.8,288,405,71.1,0,0.6,-0.6,7,140,17,3,135,252,74,30,71.2,61.5,1.3,3.4,1.5,2.7,45.8,2.5,104
691,Bryan Djile Nokoué,DFMF,Ligue 1,19.0,0.6,4,2,2,1,1,0,0,0.0,0,12,5,41.7,8,3,1,1,0,0,1,1,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,22,29,75.9,435,125,8,9,88.9,11,12,91.7,3,6,50.0,0,0.0,0.0,0,1,0,0,1,5,0,0,0.0,50.0,3.3,8.3,1.7,1.7,36.7,0.0,0
692,Berat Djimsiti,DF,Serie A,28.0,25.1,46,31,22,19,5,22,42,52.4,20,265,97,36.6,105,134,26,39,13,0,26,53,99,83,1,1,18,3,16.7,0.72,0.12,0.06,0.33,12.1,0,0,0,1.8,1.8,0.1,-0.8,-0.8,21,0.84,16,0,1,3,0,1,1,0.04,1,0,0,0,0,0,1213,1427,85.0,22421,7729,520,581,89.5,517,570,90.7,159,236,67.4,1,1.0,0.0,11,87,15,7,80,263,79,24,76.7,67.4,1.2,3.9,1.6,2.1,48.3,3.1,103
693,Naïs Djouahra,FWMF,La Liga,21.0,2.4,4,2,1,2,1,2,7,28.6,5,42,13,31.0,15,15,12,5,0,0,5,2,6,2,0,0,6,2,33.3,2.47,0.82,0.0,0.0,18.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,8,3.29,6,0,1,1,0,0,0,0.0,0,0,0,0,0,0,70,98,71.4,914,224,48,55,87.3,20,25,80.0,1,14,7.1,0,0.3,-0.3,3,7,1,0,3,20,2,1,66.7,50.0,0.8,5.4,2.1,0.8,29.2,0.8,3
694,Lewis Dobbin,FWMF,Premier League,18.0,0.4,2,2,0,1,1,0,2,0.0,2,19,5,26.3,4,7,8,0,0,0,0,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,7,57.1,106,24,2,3,66.7,0,1,0.0,2,3,66.7,0,0.0,0.0,0,1,0,0,1,2,0,6,0.0,100.0,5.0,12.5,0.0,2.5,10.0,0.0,6
695,Matt Doherty,DF,Premier League,29.0,9.7,18,12,9,8,1,7,12,58.3,5,120,42,35.0,50,54,16,24,2,0,22,17,35,15,0,2,16,6,37.5,1.65,0.62,0.13,0.33,13.8,0,0,0,2.5,2.5,0.16,-0.5,-0.5,23,2.37,19,0,1,3,0,0,4,0.41,4,0,0,0,0,0,440,538,81.8,7428,1960,221,248,89.1,176,207,85.0,37,60,61.7,4,1.8,2.2,14,20,11,4,36,72,17,9,65.4,66.7,1.2,4.3,2.5,1.8,45.4,1.8,26
696,Jeremy Doku,FWMF,Ligue 1,19.0,5.2,7,4,3,2,2,1,8,12.5,7,111,34,30.6,27,49,35,1,0,0,1,7,14,0,0,1,5,2,40.0,0.96,0.38,0.2,0.5,15.2,0,0,0,0.8,0.8,0.16,0.2,0.2,23,4.41,16,0,4,1,2,0,4,0.77,3,0,1,0,0,0,121,165,73.3,1915,506,67,89,75.3,42,51,82.4,8,16,50.0,2,1.3,0.7,10,9,8,2,19,37,3,8,27.3,57.1,0.8,6.5,0.2,1.3,23.3,0.6,11
697,Kasper Dolberg,FW,Ligue 1,23.0,16.6,16,10,6,5,5,6,16,37.5,10,302,69,22.8,26,135,141,16,1,0,15,8,24,17,0,6,39,13,33.3,2.35,0.78,0.1,0.31,15.5,0,2,2,6.4,4.9,0.13,-0.4,-0.9,29,1.75,22,0,0,4,2,1,3,0.18,2,0,0,1,0,0,175,243,72.0,2501,421,110,141,78.0,45,67,67.2,13,17,76.5,2,1.2,0.8,15,10,8,1,15,45,25,33,43.1,62.5,0.6,4.2,1.0,0.5,10.5,1.5,58
698,Brandon Domingues,MFFW,Ligue 1,21.0,2.6,6,2,3,3,0,1,2,50.0,1,70,21,30.0,13,45,12,4,0,0,4,3,9,0,0,1,4,2,50.0,1.56,0.78,0.25,0.5,19.3,0,0,0,0.9,0.9,0.22,0.1,0.1,8,3.12,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0,69,92,75.0,1118,345,30,38,78.9,30,39,76.9,5,6,83.3,0,0.3,-0.3,7,3,4,2,9,16,0,2,0.0,33.3,0.8,8.1,1.5,1.2,26.5,0.0,2
699,Carlos Dominguez,DF,La Liga,20.0,3.8,7,5,7,0,0,2,5,40.0,3,48,17,35.4,34,14,0,5,1,0,4,7,14,23,0,0,1,0,0.0,0.26,0.0,0.0,0.0,6.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,1,0.26,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,130,166,78.3,2800,781,41,52,78.8,61,64,95.3,26,47,55.3,0,0.0,0.0,0,6,1,0,8,34,12,6,66.7,71.4,1.3,4.5,1.3,1.8,34.2,3.2,18
700,Mario Dominguez,FW,La Liga,17.0,0.3,0,0,0,0,0,0,0,0.0,0,7,2,28.6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,3,66.7,20,5,2,2,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1,2,33.3,0.0,0.0,6.7,0.0,0.0,6.7,3.3,3
701,Nicolás Domínguez,MF,Serie A,23.0,22.4,78,48,37,36,5,30,70,42.9,40,571,168,29.4,238,262,71,45,13,1,32,45,123,31,1,0,22,4,18.2,0.98,0.18,0.0,0.0,15.3,0,0,0,1.6,1.6,0.07,-1.6,-1.6,55,2.46,44,1,0,6,1,3,5,0.22,4,0,0,0,0,1,982,1196,82.1,18350,4944,432,484,89.3,400,462,86.6,135,203,66.5,3,2.2,0.8,27,87,30,3,100,260,36,34,51.4,61.5,2.1,7.5,2.0,2.0,43.8,1.6,70
702,John Donald,DF,La Liga,20.0,2.0,8,6,4,3,1,2,5,40.0,3,34,14,41.2,18,15,1,6,3,0,3,3,11,3,0,0,2,1,50.0,1.0,0.5,0.0,0.0,14.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2,3,1.5,1,0,0,0,0,2,0,0.0,0,0,0,0,0,0,78,89,87.6,1419,550,26,28,92.9,43,47,91.5,6,11,54.5,0,0.0,0.0,1,10,0,0,6,19,2,5,28.6,75.0,3.0,7.0,3.0,1.5,39.0,1.0,7
703,Lee Dongjun,MF,Bundesliga,24.0,1.3,2,1,0,2,0,1,2,50.0,1,28,5,17.9,7,13,8,3,0,0,3,2,4,0,0,0,3,1,33.3,2.29,0.76,0.0,0.0,12.0,0,0,0,0.6,0.6,0.19,-0.6,-0.6,2,1.53,1,0,0,1,0,0,1,0.76,1,0,0,0,0,0,13,18,72.2,123,36,12,12,100.0,1,4,25.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,11,0,1,0.0,50.0,0.8,3.8,2.3,1.5,10.0,0.0,1
704,Anastasios Donis,FWMF,Ligue 1,24.0,4.1,10,7,4,4,2,1,4,25.0,3,78,24,30.8,19,33,26,5,0,0,5,3,13,1,0,0,10,1,10.0,2.43,0.24,0.0,0.0,19.7,0,0,0,0.7,0.7,0.07,-0.7,-0.7,5,1.22,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,51,93,54.8,843,149,26,34,76.5,15,34,44.1,6,14,42.9,0,0.3,-0.3,5,3,3,0,4,20,2,7,22.2,70.0,1.7,5.9,1.2,0.7,12.4,0.5,9
705,Niklas Dorsch,MF,Bundesliga,23.0,25.8,85,54,50,31,4,22,46,47.8,24,508,148,29.1,220,260,28,49,13,1,36,64,149,36,1,1,12,1,8.3,0.46,0.04,0.08,1.0,28.2,0,0,0,0.2,0.2,0.02,0.8,0.8,34,1.32,21,6,0,1,1,5,3,0.12,3,0,0,0,0,0,915,1100,83.2,21055,5578,276,315,87.6,411,455,90.3,210,294,71.4,0,0.3,-0.3,12,70,8,2,79,305,21,16,56.8,63.5,2.1,5.7,1.9,2.5,35.5,0.8,37
706,Gabriel Dos Santos,DF,Premier League,23.0,34.0,57,37,39,14,4,23,35,65.7,12,222,86,38.7,131,77,14,49,28,0,21,39,96,117,3,5,30,12,40.0,0.88,0.35,0.17,0.42,11.0,0,0,0,2.7,2.7,0.09,2.3,2.3,22,0.65,20,0,0,1,0,1,1,0.03,1,0,0,0,0,0,1796,2002,89.7,37056,10032,535,565,94.7,1002,1054,95.1,239,350,68.3,0,0.8,-0.8,8,111,1,0,83,250,68,38,64.2,64.9,1.1,2.5,1.4,1.1,52.8,2.0,106
707,Jodel Dossou,FW,Ligue 1,29.0,22.3,31,23,15,10,6,9,38,23.7,29,374,106,28.3,93,163,118,27,0,0,27,11,42,6,0,3,53,16,30.2,2.38,0.72,0.06,0.19,17.1,0,0,0,5.1,5.1,0.1,-2.1,-2.1,55,2.47,36,0,9,4,5,1,4,0.18,1,0,2,1,0,0,414,573,72.3,6060,1741,244,293,83.3,132,180,73.3,24,45,53.3,1,2.5,-1.5,23,36,23,12,51,119,7,19,26.9,74.2,1.0,4.8,1.2,0.5,18.6,0.3,26
708,Lohann Doucet,MF,Ligue 1,18.0,0.1,0,0,0,0,0,0,0,0.0,0,2,1,50.0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,15.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,9,66.7,176,18,2,4,50.0,1,2,50.0,3,3,100.0,0,0.0,0.0,0,0,0,0,1,4,0,1,0.0,0.0,0.0,10.0,0.0,10.0,60.0,0.0,1
709,Abdoulaye Doucouré,MF,Premier League,28.0,28.2,76,45,37,36,3,26,70,37.1,44,656,179,27.3,248,308,100,42,8,0,34,41,117,33,0,2,34,10,29.4,1.21,0.35,0.06,0.2,17.3,0,0,0,2.7,2.7,0.08,-0.7,-0.7,53,1.88,48,0,2,2,0,1,7,0.25,5,0,1,1,0,0,877,1095,80.1,14742,3154,429,500,85.8,349,419,83.3,74,112,66.1,4,2.2,1.8,21,81,23,1,91,355,44,52,45.8,59.2,1.6,6.3,1.5,1.5,31.1,1.6,96
710,Cheick Doucouré,MF,Ligue 1,21.0,32.7,86,67,44,34,8,26,66,39.4,40,497,180,36.2,192,249,56,31,7,0,24,74,160,19,0,1,31,11,35.5,0.95,0.34,0.03,0.09,22.1,0,0,0,1.5,1.5,0.05,-0.5,-0.5,86,2.63,74,0,2,3,3,4,7,0.21,5,0,0,2,0,0,1699,1940,87.6,31828,7814,702,777,90.3,776,858,90.4,200,254,78.7,4,3.1,0.9,38,187,25,0,205,299,22,24,47.8,77.9,2.0,5.5,0.9,2.3,52.0,0.7,46
711,Fodé Doucouré,DF,Ligue 1,20.0,1.7,12,6,10,2,0,3,8,37.5,5,33,14,42.4,18,12,3,4,0,0,4,5,17,4,0,0,1,0,0.0,0.58,0.0,0.0,0.0,22.0,0,0,0,0.0,0.0,0.03,0.0,0.0,1,0.58,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,57,80,71.3,994,462,25,30,83.3,27,31,87.1,5,15,33.3,0,0.0,0.0,1,1,1,0,5,14,1,4,20.0,50.0,3.5,8.2,2.4,2.9,33.5,0.6,5
712,Ismaël Doukouré,DF,Ligue 1,18.0,0.2,0,0,0,0,0,0,0,0.0,0,3,0,0.0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,33.3,23,0,0,1,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,1,2,3,40.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5
713,Kamory Doumbia,MFFW,Ligue 1,18.0,3.9,11,7,4,5,2,3,12,25.0,9,84,24,28.6,28,37,19,9,3,0,6,11,22,3,0,2,4,2,50.0,1.02,0.51,0.5,1.0,15.9,0,0,0,0.6,0.6,0.15,1.4,1.4,8,2.05,6,2,0,0,0,0,1,0.26,1,0,0,0,0,0,138,169,81.7,2629,761,59,69,85.5,55,66,83.3,20,27,74.1,1,0.4,0.6,5,18,3,2,15,30,4,5,44.4,63.6,1.8,6.2,2.3,2.8,35.4,1.0,9
714,Moussa Doumbia,FW,Ligue 1,26.0,1.0,0,0,0,0,0,0,1,0.0,1,16,4,25.0,0,9,7,0,0,0,0,0,0,0,0,0,3,2,66.7,3.14,2.09,0.0,0.0,24.1,0,0,1,0.9,0.1,0.04,-0.9,-0.1,5,5.23,4,0,0,1,0,0,2,2.09,2,0,0,0,0,0,27,36,75.0,411,134,18,21,85.7,8,11,72.7,1,2,50.0,0,0.0,0.0,0,1,2,0,4,5,0,4,0.0,0.0,0.0,4.0,0.0,0.0,27.0,0.0,4
715,Souleyman Doumbia,DF,Ligue 1,24.0,24.7,32,23,15,11,6,13,31,41.9,18,264,63,23.9,89,114,61,58,4,0,54,55,87,35,1,0,14,3,21.4,0.57,0.12,0.0,0.0,20.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,35,1.42,29,0,3,0,2,1,2,0.08,2,0,0,0,0,0,915,1102,83.0,14808,4397,478,524,91.2,373,431,86.5,54,100,54.0,1,1.5,-0.5,16,35,17,12,55,133,17,16,51.5,71.9,0.9,2.6,2.3,2.2,37.0,0.7,33
716,Kieran Dowell,FWMF,Premier League,23.0,10.1,17,7,6,8,3,8,32,25.0,24,270,49,18.1,67,121,82,10,1,0,9,9,26,2,0,1,8,2,25.0,0.79,0.2,0.13,0.5,22.1,3,0,0,1.2,1.2,0.15,-0.2,-0.2,23,2.27,18,5,0,0,0,0,1,0.1,1,0,0,0,0,0,235,342,68.7,3998,1155,124,152,81.6,76,100,76.0,27,66,40.9,1,2.0,-1.0,16,18,15,6,24,49,13,28,31.7,41.2,0.7,4.9,1.0,0.9,23.3,1.3,41
717,Radu Drăgușin,DF,Serie A,19.0,6.9,6,2,4,2,0,3,7,42.9,4,95,30,31.6,48,41,6,14,4,0,10,13,19,29,0,0,3,0,0.0,0.44,0.0,0.0,0.0,17.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,4,0.58,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,179,258,69.4,3990,1538,40,57,70.2,98,130,75.4,38,65,58.5,0,0.1,-0.1,3,10,3,1,12,82,17,8,68.0,33.3,0.3,4.3,2.0,1.9,25.9,2.5,25
718,Radu Drăgușin,DF,Serie A,19.0,5.4,7,4,5,1,1,2,8,25.0,6,51,16,31.4,29,19,3,9,4,0,5,21,28,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.37,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,130,158,82.3,2792,969,41,47,87.2,62,70,88.6,25,34,73.5,0,0.0,0.0,1,4,0,0,6,38,7,11,38.9,57.1,0.7,3.0,1.7,3.9,24.1,1.3,18
719,Cody Drameh,DF,Premier League,19.0,1.4,6,3,4,2,0,2,4,50.0,2,29,8,27.6,16,10,3,2,0,0,2,3,9,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,1.41,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,60,77,77.9,927,398,39,44,88.6,18,23,78.3,3,4,75.0,0,0.0,0.0,1,3,2,1,6,9,0,2,0.0,50.0,2.1,5.7,1.4,2.1,42.9,0.0,2
720,Julian Draxler,FWMF,Ligue 1,27.0,6.1,4,4,0,3,1,1,6,16.7,5,50,17,34.0,8,26,16,4,0,0,4,4,8,4,0,2,9,3,33.3,1.48,0.49,0.22,0.67,14.6,0,0,0,1.4,1.4,0.16,0.6,0.6,16,2.63,14,1,1,0,0,0,2,0.33,2,0,0,0,0,0,275,302,91.1,4338,804,156,167,93.4,90,98,91.8,22,29,75.9,1,1.5,-0.5,8,21,5,1,14,26,2,4,33.3,100.0,0.7,2.8,0.7,0.7,45.1,0.3,6
721,Domingos Duarte,DF,La Liga,26.0,18.7,20,9,11,8,1,6,10,60.0,4,122,41,33.6,65,51,6,33,21,1,12,26,46,98,3,1,6,1,16.7,0.32,0.05,0.17,1.0,8.7,0,0,0,0.7,0.7,0.11,0.3,0.3,7,0.37,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0,548,702,78.1,12800,4801,135,159,84.9,286,334,85.6,122,197,61.9,0,0.0,0.0,1,36,0,0,40,195,48,26,64.9,45.0,0.5,2.2,1.8,1.4,29.3,2.6,74
722,Óscar Duarte,DF,La Liga,32.0,19.7,19,14,11,8,0,6,14,42.9,8,154,54,35.1,77,69,8,25,11,0,14,27,46,102,0,2,20,5,25.0,1.02,0.25,0.1,0.4,11.3,0,0,0,1.1,1.1,0.05,0.9,0.9,4,0.2,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,810,961,84.3,18619,6517,205,223,91.9,405,465,87.1,188,256,73.4,0,0.3,-0.3,2,27,0,0,34,211,87,40,68.5,73.7,0.7,2.7,1.3,1.4,41.1,4.4,127
723,Rubén Duarte,DF,La Liga,25.0,29.1,79,40,44,29,6,34,75,45.3,41,391,110,28.1,192,147,52,79,6,0,73,68,147,99,0,0,9,3,33.3,0.31,0.1,0.0,0.0,23.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,46,1.58,27,14,0,0,2,3,6,0.21,3,2,0,0,1,0,914,1346,67.9,17031,8941,393,456,86.2,406,534,76.0,103,306,33.7,4,2.1,1.9,21,76,27,15,79,274,68,43,61.3,50.6,1.4,3.8,2.7,2.3,31.4,2.3,111
724,Leo Dubois,DF,Ligue 1,26.0,19.4,56,37,32,17,7,33,57,57.9,24,285,86,30.2,115,111,59,44,3,2,41,28,84,31,0,0,10,1,10.0,0.52,0.05,0.0,0.0,21.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,40,2.07,31,5,0,3,1,0,4,0.21,2,0,0,1,1,0,1138,1358,83.8,21148,6813,489,530,92.3,499,566,88.2,139,231,60.2,0,1.3,-1.3,17,71,23,10,101,139,18,23,43.9,66.1,1.9,4.4,2.3,1.4,58.7,0.9,41
725,Ondrej Duda,MF,Bundesliga,26.0,17.9,22,18,4,12,6,8,27,29.6,19,374,119,31.8,58,185,131,16,2,0,14,28,50,11,0,2,42,15,35.7,2.35,0.84,0.05,0.13,19.1,0,0,0,3.5,3.5,0.09,-1.5,-1.5,62,3.46,37,6,10,3,4,2,1,0.06,0,0,1,0,0,0,506,681,74.3,9137,2322,247,300,82.3,158,218,72.5,83,123,67.5,0,2.5,-2.5,21,48,21,4,62,160,25,37,40.3,81.8,1.0,6.6,0.9,1.6,28.3,1.4,62
726,Jeremy Dudziak,MFFW,Bundesliga,25.0,12.6,18,13,7,8,3,5,16,31.3,11,289,71,24.6,69,137,83,14,0,0,14,16,34,4,0,2,16,4,25.0,1.27,0.32,0.13,0.5,13.9,0,0,0,2.4,2.4,0.16,-0.4,-0.4,28,2.22,18,2,2,2,4,0,3,0.24,0,0,1,0,2,0,222,329,67.5,3734,1154,100,128,78.1,91,120,75.8,18,50,36.0,0,1.6,-1.6,14,21,8,5,32,84,16,21,43.2,72.2,1.0,5.6,1.1,1.3,17.6,1.3,37
727,Shane Duffy,DF,Premier League,29.0,16.0,16,9,12,1,3,5,13,38.5,8,85,19,22.4,50,31,4,35,19,1,16,18,34,91,1,1,21,5,23.8,1.32,0.31,0.05,0.2,9.4,0,0,0,1.3,1.3,0.06,-0.3,-0.3,8,0.5,6,0,0,2,0,0,2,0.13,1,0,0,1,0,0,894,1007,88.8,20678,5681,171,184,92.9,541,578,93.6,180,237,75.9,0,0.1,-0.1,3,55,2,0,35,152,81,23,77.9,56.2,0.6,1.2,2.2,1.1,55.9,5.1,104
728,Unai Dufur,DF,La Liga,22.0,1.0,1,1,0,1,0,0,0,0.0,0,7,3,42.9,4,3,0,1,0,0,1,3,4,3,0,0,1,0,0.0,1.0,0.0,0.0,0.0,6.7,0,0,0,0.0,0.0,0.04,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,37,50,74.0,827,276,11,13,84.6,20,25,80.0,6,11,54.5,0,0.0,0.0,0,4,0,0,6,13,5,2,71.4,100.0,1.0,3.0,1.0,3.0,37.0,5.0,7
729,Denzel Dumfries,DF,Serie A,25.0,22.5,40,25,13,16,11,13,31,41.9,18,292,94,32.2,84,113,95,29,8,0,21,26,66,27,0,5,39,17,43.6,1.73,0.75,0.13,0.29,10.9,0,0,0,5.8,5.8,0.15,-0.8,-0.8,55,2.44,42,2,5,4,2,0,6,0.27,4,1,0,0,1,0,647,864,74.9,10668,3592,333,400,83.3,255,333,76.6,46,88,52.3,4,3.9,0.1,27,32,27,9,81,130,59,41,59.0,62.5,1.1,4.2,1.3,1.2,28.8,2.6,100
730,Paul Dummett,DF,Premier League,29.0,2.2,9,4,6,2,1,5,8,62.5,3,31,12,38.7,15,13,3,3,0,0,3,4,13,9,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.45,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,51,68,75.0,867,436,24,28,85.7,25,31,80.6,2,8,25.0,0,0.0,0.0,0,5,0,0,3,10,3,3,50.0,44.4,1.8,5.5,1.4,1.8,23.2,1.4,6
